Date,Ticker,Investment_Value_Numeric
2023-02-15,HINDUNILVR.NS,113486.0
2023-02-16,HINDUNILVR.NS,112536.0
2023-02-17,HINDUNILVR.NS,112019.0
2023-02-20,HINDUNILVR.NS,111839.0
2023-02-21,HINDUNILVR.NS,112048.0
2023-02-22,HINDUNILVR.NS,111064.0
2023-02-23,HINDUNILVR.NS,110912.0
2023-02-24,HINDUNILVR.NS,110625.0
2023-02-27,HINDUNILVR.NS,109910.0
2023-02-28,HINDUNILVR.NS,109576.0
2023-03-01,HINDUNILVR.NS,109826.0
2023-03-02,HINDUNILVR.NS,109340.0
2023-03-03,HINDUNILVR.NS,110037.0
2023-03-06,HINDUNILVR.NS,110654.0
2023-03-08,HINDUNILVR.NS,110665.0
2023-03-09,HINDUNILVR.NS,109610.0
2023-03-10,HINDUNILVR.NS,109790.0
2023-03-13,HINDUNILVR.NS,109329.0
2023-03-14,HINDUNILVR.NS,108766.0
2023-03-15,HINDUNILVR.NS,107147.0
2023-03-16,HINDUNILVR.NS,109519.0
2023-03-17,HINDUNILVR.NS,108986.0
2023-03-20,HINDUNILVR.NS,111828.0
2023-03-21,HINDUNILVR.NS,109663.0
2023-03-22,HINDUNILVR.NS,110276.0
2023-03-23,HINDUNILVR.NS,110665.0
2023-03-24,HINDUNILVR.NS,110474.0
2023-03-27,HINDUNILVR.NS,111284.0
2023-03-28,HINDUNILVR.NS,110563.0
2023-03-29,HINDUNILVR.NS,112703.0
2023-03-31,HINDUNILVR.NS,114016.0
2023-04-03,HINDUNILVR.NS,112936.0
2023-04-05,HINDUNILVR.NS,115014.0
2023-04-06,HINDUNILVR.NS,114234.0
2023-04-10,HINDUNILVR.NS,112761.0
2023-04-11,HINDUNILVR.NS,113455.0
2023-04-12,HINDUNILVR.NS,112618.0
2023-04-13,HINDUNILVR.NS,112941.0
2023-04-17,HINDUNILVR.NS,113638.0
2023-04-18,HINDUNILVR.NS,113157.0
2023-04-19,HINDUNILVR.NS,112736.0
2023-04-20,HINDUNILVR.NS,110999.0
2023-04-21,HINDUNILVR.NS,111238.0
2023-04-24,HINDUNILVR.NS,111318.0
2023-04-25,HINDUNILVR.NS,110904.0
2023-04-26,HINDUNILVR.NS,111810.0
2023-04-27,HINDUNILVR.NS,109946.0
2023-04-28,HINDUNILVR.NS,109427.0
2023-05-02,HINDUNILVR.NS,109178.0
2023-05-03,HINDUNILVR.NS,110705.0
2023-05-04,HINDUNILVR.NS,111629.0
2023-05-05,HINDUNILVR.NS,111362.0
2023-05-08,HINDUNILVR.NS,112055.0
2023-05-09,HINDUNILVR.NS,112032.0
2023-05-10,HINDUNILVR.NS,112340.0
2023-05-11,HINDUNILVR.NS,115444.0
2023-05-12,HINDUNILVR.NS,116824.0
2023-05-15,HINDUNILVR.NS,118554.0
2023-05-16,HINDUNILVR.NS,119162.0
2023-05-17,HINDUNILVR.NS,118532.0
2023-05-18,HINDUNILVR.NS,117009.0
2023-05-19,HINDUNILVR.NS,117628.0
2023-05-22,HINDUNILVR.NS,117479.0
2023-05-23,HINDUNILVR.NS,117042.0
2023-05-24,HINDUNILVR.NS,116448.0
2023-05-25,HINDUNILVR.NS,115660.0
2023-05-26,HINDUNILVR.NS,118113.0
2023-05-29,HINDUNILVR.NS,118022.0
2023-05-30,HINDUNILVR.NS,118300.0
2023-05-31,HINDUNILVR.NS,118790.0
2023-06-01,HINDUNILVR.NS,120142.0
2023-06-02,HINDUNILVR.NS,120979.0
2023-06-05,HINDUNILVR.NS,120048.0
2023-06-06,HINDUNILVR.NS,119841.0
2023-06-07,HINDUNILVR.NS,120957.0
2023-06-08,HINDUNILVR.NS,119340.0
2023-06-09,HINDUNILVR.NS,117394.0
2023-06-12,HINDUNILVR.NS,117717.0
2023-06-13,HINDUNILVR.NS,119162.0
2023-06-14,HINDUNILVR.NS,120179.0
2023-06-15,HINDUNILVR.NS,119776.0
2023-06-16,HINDUNILVR.NS,120932.0
2023-06-19,HINDUNILVR.NS,119489.0
2023-06-20,HINDUNILVR.NS,119171.0
2023-06-21,HINDUNILVR.NS,119193.0
2023-06-22,HINDUNILVR.NS,118202.0
2023-06-23,HINDUNILVR.NS,117634.0
2023-06-26,HINDUNILVR.NS,118102.0
2023-06-27,HINDUNILVR.NS,118069.0
2023-06-28,HINDUNILVR.NS,118510.0
2023-06-30,HINDUNILVR.NS,119262.0
2023-07-03,HINDUNILVR.NS,120282.0
2023-07-04,HINDUNILVR.NS,120235.0
2023-07-05,HINDUNILVR.NS,122722.0
2023-07-06,HINDUNILVR.NS,122778.0
2023-07-07,HINDUNILVR.NS,120151.0
2023-07-10,HINDUNILVR.NS,118300.0
2023-07-11,HINDUNILVR.NS,119545.0
2023-07-12,HINDUNILVR.NS,119062.0
2023-07-13,HINDUNILVR.NS,118218.0
2023-07-14,HINDUNILVR.NS,119206.0
2023-07-17,HINDUNILVR.NS,119420.0
2023-07-18,HINDUNILVR.NS,119469.0
2023-07-19,HINDUNILVR.NS,118970.0
2023-07-20,HINDUNILVR.NS,120380.0
2023-07-21,HINDUNILVR.NS,115960.0
2023-07-24,HINDUNILVR.NS,114902.0
2023-07-25,HINDUNILVR.NS,114364.0
2023-07-26,HINDUNILVR.NS,115038.0
2023-07-27,HINDUNILVR.NS,114439.0
2023-07-28,HINDUNILVR.NS,115096.0
2023-07-31,HINDUNILVR.NS,114036.0
2023-08-01,HINDUNILVR.NS,113604.0
2023-08-02,HINDUNILVR.NS,114399.0
2023-08-03,HINDUNILVR.NS,113613.0
2023-08-04,HINDUNILVR.NS,113377.0
2023-08-07,HINDUNILVR.NS,114410.0
2023-08-08,HINDUNILVR.NS,114261.0
2023-08-09,HINDUNILVR.NS,113653.0
2023-08-10,HINDUNILVR.NS,112963.0
2023-08-11,HINDUNILVR.NS,111409.0
2023-08-14,HINDUNILVR.NS,112803.0
2023-08-16,HINDUNILVR.NS,113671.0
2023-08-17,HINDUNILVR.NS,113255.0
2023-08-18,HINDUNILVR.NS,113767.0
2023-08-21,HINDUNILVR.NS,114123.0
2023-08-22,HINDUNILVR.NS,114259.0
2023-08-23,HINDUNILVR.NS,114626.0
2023-08-24,HINDUNILVR.NS,114947.0
2023-08-25,HINDUNILVR.NS,114159.0
2023-08-28,HINDUNILVR.NS,113809.0
2023-08-29,HINDUNILVR.NS,112493.0
2023-08-30,HINDUNILVR.NS,112752.0
2023-08-31,HINDUNILVR.NS,111554.0
2023-09-01,HINDUNILVR.NS,111543.0
2023-09-04,HINDUNILVR.NS,111391.0
2023-09-05,HINDUNILVR.NS,111643.0
2023-09-06,HINDUNILVR.NS,112375.0
2023-09-07,HINDUNILVR.NS,111661.0
2023-09-08,HINDUNILVR.NS,111943.0
2023-09-11,HINDUNILVR.NS,112943.0
2023-09-12,HINDUNILVR.NS,111278.0
2023-09-13,HINDUNILVR.NS,111620.0
2023-09-14,HINDUNILVR.NS,111364.0
2023-09-15,HINDUNILVR.NS,109980.0
2023-09-18,HINDUNILVR.NS,110823.0
2023-09-20,HINDUNILVR.NS,109853.0
2023-09-21,HINDUNILVR.NS,110142.0
2023-09-22,HINDUNILVR.NS,110547.0
2023-09-25,HINDUNILVR.NS,110253.0
2023-09-26,HINDUNILVR.NS,110391.0
2023-09-27,HINDUNILVR.NS,111407.0
2023-09-28,HINDUNILVR.NS,109563.0
2023-09-29,HINDUNILVR.NS,109797.0
2023-10-03,HINDUNILVR.NS,109944.0
2023-10-04,HINDUNILVR.NS,111678.0
2023-10-05,HINDUNILVR.NS,112199.0
2023-10-06,HINDUNILVR.NS,111302.0
2023-10-09,HINDUNILVR.NS,111832.0
2023-10-10,HINDUNILVR.NS,112050.0
2023-10-11,HINDUNILVR.NS,113840.0
2023-10-12,HINDUNILVR.NS,113867.0
2023-10-13,HINDUNILVR.NS,114422.0
2023-10-16,HINDUNILVR.NS,113925.0
2023-10-17,HINDUNILVR.NS,113829.0
2023-10-18,HINDUNILVR.NS,113477.0
2023-10-19,HINDUNILVR.NS,113471.0
2023-10-20,HINDUNILVR.NS,111113.0
2023-10-23,HINDUNILVR.NS,110594.0
2023-10-25,HINDUNILVR.NS,110318.0
2023-10-26,HINDUNILVR.NS,110278.0
2023-10-27,HINDUNILVR.NS,110529.0
2023-10-30,HINDUNILVR.NS,110389.0
2023-10-31,HINDUNILVR.NS,110616.0
2023-11-01,HINDUNILVR.NS,110093.0
2023-11-02,HINDUNILVR.NS,110741.0
2023-11-03,HINDUNILVR.NS,111741.0
2023-11-06,HINDUNILVR.NS,111213.0
2023-11-07,HINDUNILVR.NS,111171.0
2023-11-08,HINDUNILVR.NS,112191.0
2023-11-09,HINDUNILVR.NS,110291.0
2023-11-10,HINDUNILVR.NS,110730.0
2023-11-13,HINDUNILVR.NS,110356.0
2023-11-15,HINDUNILVR.NS,110723.0
2023-11-16,HINDUNILVR.NS,110937.0
2023-11-17,HINDUNILVR.NS,112611.0
2023-11-20,HINDUNILVR.NS,111616.0
2023-11-21,HINDUNILVR.NS,111563.0
2023-11-22,HINDUNILVR.NS,112304.0
2023-11-23,HINDUNILVR.NS,112215.0
2023-11-24,HINDUNILVR.NS,112006.0
2023-11-28,HINDUNILVR.NS,111799.0
2023-11-29,HINDUNILVR.NS,112444.0
2023-11-30,HINDUNILVR.NS,113357.0
2023-12-01,HINDUNILVR.NS,114163.0
2023-12-04,HINDUNILVR.NS,115884.0
2023-12-05,HINDUNILVR.NS,114145.0
2023-12-06,HINDUNILVR.NS,114341.0
2023-12-07,HINDUNILVR.NS,112142.0
2023-12-08,HINDUNILVR.NS,112322.0
2023-12-11,HINDUNILVR.NS,111491.0
2023-12-12,HINDUNILVR.NS,111451.0
2023-12-13,HINDUNILVR.NS,111859.0
2023-12-14,HINDUNILVR.NS,112057.0
2023-12-15,HINDUNILVR.NS,112349.0
2023-12-18,HINDUNILVR.NS,112910.0
2023-12-19,HINDUNILVR.NS,114032.0
2023-12-20,HINDUNILVR.NS,113889.0
2023-12-21,HINDUNILVR.NS,113698.0
2023-12-22,HINDUNILVR.NS,114695.0
2023-12-26,HINDUNILVR.NS,115103.0
2023-12-27,HINDUNILVR.NS,116152.0
2023-12-28,HINDUNILVR.NS,117287.0
2023-12-29,HINDUNILVR.NS,118630.0
2024-01-01,HINDUNILVR.NS,118220.0
2024-01-02,HINDUNILVR.NS,116397.0
2024-01-03,HINDUNILVR.NS,116074.0
2024-01-04,HINDUNILVR.NS,115450.0
2024-01-05,HINDUNILVR.NS,116675.0
2024-01-08,HINDUNILVR.NS,114813.0
2024-01-09,HINDUNILVR.NS,114880.0
2024-01-10,HINDUNILVR.NS,114776.0
2024-01-11,HINDUNILVR.NS,112941.0
2024-01-12,HINDUNILVR.NS,113288.0
2024-01-15,HINDUNILVR.NS,114589.0
2024-01-16,HINDUNILVR.NS,114406.0
2024-01-17,HINDUNILVR.NS,114130.0
2024-01-18,HINDUNILVR.NS,113466.0
2024-01-19,HINDUNILVR.NS,114241.0
2024-01-23,HINDUNILVR.NS,105787.0
2024-01-24,HINDUNILVR.NS,108730.0
2024-01-25,HINDUNILVR.NS,108136.0
2024-01-29,HINDUNILVR.NS,108853.0
2024-01-30,HINDUNILVR.NS,109487.0
2024-01-31,HINDUNILVR.NS,110507.0
2024-02-01,HINDUNILVR.NS,110153.0
2024-02-02,HINDUNILVR.NS,109218.0
2024-02-05,HINDUNILVR.NS,107744.0
2024-02-06,HINDUNILVR.NS,108049.0
2024-02-07,HINDUNILVR.NS,108009.0
2024-02-08,HINDUNILVR.NS,107635.0
2024-02-09,HINDUNILVR.NS,107951.0
2024-02-12,HINDUNILVR.NS,106237.0
2024-02-13,HINDUNILVR.NS,106608.0
2024-02-14,HINDUNILVR.NS,106339.0
2024-02-15,HINDUNILVR.NS,104687.0
2024-02-16,HINDUNILVR.NS,105774.0
2024-02-19,HINDUNILVR.NS,106303.0
2024-02-20,HINDUNILVR.NS,107058.0
2024-02-21,HINDUNILVR.NS,107192.0
2024-02-22,HINDUNILVR.NS,106346.0
2024-02-23,HINDUNILVR.NS,106613.0
2024-02-26,HINDUNILVR.NS,107065.0
2024-02-27,HINDUNILVR.NS,107112.0
2024-02-28,HINDUNILVR.NS,107835.0
2024-02-29,HINDUNILVR.NS,107423.0
2024-03-01,HINDUNILVR.NS,107308.0
2024-03-04,HINDUNILVR.NS,107855.0
2024-03-05,HINDUNILVR.NS,106869.0
2024-03-06,HINDUNILVR.NS,106911.0
2024-03-07,HINDUNILVR.NS,107746.0
2024-03-11,HINDUNILVR.NS,106424.0
2024-03-12,HINDUNILVR.NS,105903.0
2024-03-13,HINDUNILVR.NS,102984.0
2024-03-14,HINDUNILVR.NS,103963.0
2024-03-15,HINDUNILVR.NS,103656.0
2024-03-18,HINDUNILVR.NS,102420.0
2024-03-19,HINDUNILVR.NS,100951.0
2024-03-20,HINDUNILVR.NS,99837.0
2024-03-21,HINDUNILVR.NS,99855.0
2024-03-22,HINDUNILVR.NS,100488.0
2024-03-26,HINDUNILVR.NS,99751.0
2024-03-27,HINDUNILVR.NS,99737.0
2024-03-28,HINDUNILVR.NS,100835.0
2024-04-01,HINDUNILVR.NS,101795.0
2024-04-02,HINDUNILVR.NS,101830.0
2024-04-03,HINDUNILVR.NS,100873.0
2024-04-04,HINDUNILVR.NS,100862.0
2024-04-05,HINDUNILVR.NS,100951.0
2024-04-08,HINDUNILVR.NS,101040.0
2024-04-09,HINDUNILVR.NS,100826.0
2024-04-10,HINDUNILVR.NS,100681.0
2024-04-12,HINDUNILVR.NS,99408.0
2024-04-15,HINDUNILVR.NS,97704.0
2024-04-16,HINDUNILVR.NS,98896.0
2024-04-18,HINDUNILVR.NS,98628.0
2024-04-19,HINDUNILVR.NS,99377.0
2024-04-22,HINDUNILVR.NS,99817.0
2024-04-23,HINDUNILVR.NS,100764.0
2024-04-24,HINDUNILVR.NS,100652.0
2024-04-25,HINDUNILVR.NS,99343.0
2024-04-26,HINDUNILVR.NS,98978.0
2024-04-29,HINDUNILVR.NS,99132.0
2024-04-30,HINDUNILVR.NS,99325.0
2024-05-02,HINDUNILVR.NS,99141.0
2024-05-03,HINDUNILVR.NS,98729.0
2024-05-06,HINDUNILVR.NS,100472.0
2024-05-07,HINDUNILVR.NS,105958.0
2024-05-08,HINDUNILVR.NS,104251.0
2024-05-09,HINDUNILVR.NS,103565.0
2024-05-10,HINDUNILVR.NS,105208.0
2024-05-13,HINDUNILVR.NS,105123.0
2024-05-14,HINDUNILVR.NS,104631.0
2024-05-15,HINDUNILVR.NS,103460.0
2024-05-16,HINDUNILVR.NS,104344.0
2024-05-17,HINDUNILVR.NS,103329.0
2024-05-21,HINDUNILVR.NS,102899.0
2024-05-22,HINDUNILVR.NS,105402.0
2024-05-23,HINDUNILVR.NS,106096.0
2024-05-24,HINDUNILVR.NS,105497.0
2024-05-27,HINDUNILVR.NS,106185.0
2024-05-28,HINDUNILVR.NS,106695.0
2024-05-29,HINDUNILVR.NS,105691.0
2024-05-30,HINDUNILVR.NS,104711.0
2024-05-31,HINDUNILVR.NS,103716.0
2024-06-03,HINDUNILVR.NS,104912.0
2024-06-04,HINDUNILVR.NS,111164.0
2024-06-05,HINDUNILVR.NS,115904.0
2024-06-06,HINDUNILVR.NS,113538.0
2024-06-07,HINDUNILVR.NS,114793.0
2024-06-10,HINDUNILVR.NS,114239.0
2024-06-11,HINDUNILVR.NS,113838.0
2024-06-12,HINDUNILVR.NS,112607.0
2024-06-13,HINDUNILVR.NS,110768.0
2024-06-14,HINDUNILVR.NS,110427.0
2024-06-18,HINDUNILVR.NS,110717.0
2024-06-19,HINDUNILVR.NS,109414.0
2024-06-20,HINDUNILVR.NS,110536.0
2024-06-21,HINDUNILVR.NS,108715.0
2024-06-24,HINDUNILVR.NS,108755.0
2024-06-25,HINDUNILVR.NS,108310.0
2024-06-26,HINDUNILVR.NS,108906.0
2024-06-27,HINDUNILVR.NS,109643.0
2024-06-28,HINDUNILVR.NS,110129.0
2024-07-01,HINDUNILVR.NS,111556.0
2024-07-02,HINDUNILVR.NS,110668.0
2024-07-03,HINDUNILVR.NS,111790.0
2024-07-04,HINDUNILVR.NS,111148.0
2024-07-05,HINDUNILVR.NS,113422.0
2024-07-08,HINDUNILVR.NS,115210.0
2024-07-09,HINDUNILVR.NS,115343.0
2024-07-10,HINDUNILVR.NS,116247.0
2024-07-11,HINDUNILVR.NS,116176.0
2024-07-12,HINDUNILVR.NS,116773.0
2024-07-15,HINDUNILVR.NS,116686.0
2024-07-16,HINDUNILVR.NS,119721.0
2024-07-18,HINDUNILVR.NS,121945.0
2024-07-19,HINDUNILVR.NS,121437.0
2024-07-22,HINDUNILVR.NS,121807.0
2024-07-23,HINDUNILVR.NS,123190.0
2024-07-24,HINDUNILVR.NS,120994.0
2024-07-25,HINDUNILVR.NS,120556.0
2024-07-26,HINDUNILVR.NS,120727.0
2024-07-29,HINDUNILVR.NS,120752.0
2024-07-30,HINDUNILVR.NS,119852.0
